Date,ASIN,Title,Reason
2026-04-02,B0018191SM,"Highland Sticky Notes, 3 x 3 Inches, Yellow, Set of 24 (6549-24)'",No return policy signal in static HTML
2026-04-02,B00006JNMW,"Post-it Notes, 1 /3/8 x 1 7/8 in, 12 Sticky Notes Pads, 100 Sheets per Pad, Canary Yellow, The Original Post-it Note, School Supplies and O\xef\xac\x83ce Products'",No return policy signal in static HTML
2026-04-02,B00125KYFS,"Post-it Flags Value Pack, 50/Dispenser, 12 Dispensers/Pack, 1 in Wide, Blue (680-BE12)'",No return policy signal in static HTML
2026-04-02,B0058TVXA4,"Post-it Super Sticky Notes, 8 Sticky Note Pads, 1.875 x 1.875 in., Back to School Supplies for Students, Ideal for Textbooks, Notebooks, and Vertical Surfaces, Playful Primaries Collection'",No return policy signal in static HTML
2026-04-02,B00745R3HC,"3M SCOTCHCAST ELECTRICAL INSULATING AND SEALING COMPOUND 2104A, 3.46 OZ, 10 /CASE'",No return policy signal in static HTML
2026-04-02,B00006JN7R,"Highland Sticky Notes, 1.5 x 2 Inches, Yellow, 12 Pack (6539)'",No return policy signal in static HTML
2026-04-02,B07MZKXTTB,"Post-it\xc2\xae Pastel Color Tabs, Gradient Blue, Pink, Clear, 36 Tabs/Pack'",No return policy signal in static HTML
2026-04-02,B00342VCH6,"Scotch Thermal Laminating Pouches, Laminate Homemade Ornaments, Christmas Banners and Gift Tags, 5 Mil, 20-Pack Photo Size Laminating Sheets 5 x 7 Inches, Clear'",No return policy signal in static HTML
2026-04-02,B00006JNMD,"Post-it Flags, 50/Dispenser, 2 Dispensers/Pack, 1 in Wide, Red (680-RD2)'",No return policy signal in static HTML
2026-04-02,B00B8G7WJC,"Post-it 6228SSAU Super Sticky Notes, Ultra, 2-Inch x2-Inch, 8/PK, Assorted'",No return policy signal in static HTML
2026-04-02,B01C4TYMMG,"Scotch Photo Size Thermal Laminating Pouches, 5 mil, 6 x 4, 20/Pack'",No return policy signal in static HTML
2026-04-02,B07K814BRM,"Post-it Super Sticky Big Notes, 11 in x 11 in, 1 Pad, 2X The Sticking Power, Neon Orange (BN11O)'",No return policy signal in static HTML
2026-04-02,B0000AQOS0,"Post-it Note Dispensers, 4 in. x 4 in.'",No return policy signal in static HTML
2026-04-02,B07K8XQYH9,"Post-it Note Dispenser with Post-it Pop-up Notes, White Base with Grey Geometric Pattern, 1 Aqua Splash 3 in. x 3 in. Super Sticky Note Pad, Classroom or Office Supplies'",No return policy signal in static HTML
2026-04-02,B0018191SM,"Highland Sticky Notes, 3 x 3 Inches, Yellow, Set of 24 (6549-24)'",No return policy signal in static HTML
2026-04-02,B00006JNMW,"Post-it Notes, 1 /3/8 x 1 7/8 in, 12 Sticky Notes Pads, 100 Sheets per Pad, Canary Yellow, The Original Post-it Note, School Supplies and O\xef\xac\x83ce Products'",No return policy signal in static HTML
2026-04-02,B00125KYFS,"Post-it Flags Value Pack, 50/Dispenser, 12 Dispensers/Pack, 1 in Wide, Blue (680-BE12)'",No return policy signal in static HTML
2026-04-02,B0058TVXA4,"Post-it Super Sticky Notes, 8 Sticky Note Pads, 1.875 x 1.875 in., Back to School Supplies for Students, Ideal for Textbooks, Notebooks, and Vertical Surfaces, Playful Primaries Collection'",No return policy signal in static HTML
2026-04-02,B00745R3HC,"3M SCOTCHCAST ELECTRICAL INSULATING AND SEALING COMPOUND 2104A, 3.46 OZ, 10 /CASE'",No return policy signal in static HTML
2026-04-02,B00006JN7R,"Highland Sticky Notes, 1.5 x 2 Inches, Yellow, 12 Pack (6539)'",No return policy signal in static HTML
2026-04-02,B07MZKXTTB,"Post-it\xc2\xae Pastel Color Tabs, Gradient Blue, Pink, Clear, 36 Tabs/Pack'",No return policy signal in static HTML
2026-04-02,B00342VCH6,"Scotch Thermal Laminating Pouches, Laminate Homemade Ornaments, Christmas Banners and Gift Tags, 5 Mil, 20-Pack Photo Size Laminating Sheets 5 x 7 Inches, Clear'",No return policy signal in static HTML
2026-04-02,B00006JNMD,"Post-it Flags, 50/Dispenser, 2 Dispensers/Pack, 1 in Wide, Red (680-RD2)'",No return policy signal in static HTML
2026-04-02,B00B8G7WJC,"Post-it 6228SSAU Super Sticky Notes, Ultra, 2-Inch x2-Inch, 8/PK, Assorted'",No return policy signal in static HTML
2026-04-02,B01C4TYMMG,"Scotch Photo Size Thermal Laminating Pouches, 5 mil, 6 x 4, 20/Pack'",No return policy signal in static HTML
2026-04-02,B07K814BRM,"Post-it Super Sticky Big Notes, 11 in x 11 in, 1 Pad, 2X The Sticking Power, Neon Orange (BN11O)'",No return policy signal in static HTML
2026-04-02,B0000AQOS0,"Post-it Note Dispensers, 4 in. x 4 in.'",No return policy signal in static HTML
2026-04-02,B07K8XQYH9,"Post-it Note Dispenser with Post-it Pop-up Notes, White Base with Grey Geometric Pattern, 1 Aqua Splash 3 in. x 3 in. Super Sticky Note Pad, Classroom or Office Supplies'",No return policy signal in static HTML
2026-04-02,B0018191SM,"Highland Sticky Notes, 3 x 3 Inches, Yellow, Set of 24 (6549-24)'",No return policy signal in static HTML
2026-04-02,B00006JNMW,"Post-it Notes, 1 /3/8 x 1 7/8 in, 12 Sticky Notes Pads, 100 Sheets per Pad, Canary Yellow, The Original Post-it Note, School Supplies and O\xef\xac\x83ce Products'",No return policy signal in static HTML
2026-04-02,B00125KYFS,"Post-it Flags Value Pack, 50/Dispenser, 12 Dispensers/Pack, 1 in Wide, Blue (680-BE12)'",No return policy signal in static HTML
2026-04-02,B0058TVXA4,"Post-it Super Sticky Notes, 8 Sticky Note Pads, 1.875 x 1.875 in., Back to School Supplies for Students, Ideal for Textbooks, Notebooks, and Vertical Surfaces, Playful Primaries Collection'",No return policy signal in static HTML
2026-04-02,B00745R3HC,"3M SCOTCHCAST ELECTRICAL INSULATING AND SEALING COMPOUND 2104A, 3.46 OZ, 10 /CASE'",No return policy signal in static HTML
2026-04-03,B00745R3HC,"3M SCOTCHCAST ELECTRICAL INSULATING AND SEALING COMPOUND 2104A, 3.46 OZ, 10 /CASE'",No return policy signal in static HTML
2026-04-03,B00745R3HC,"3M SCOTCHCAST ELECTRICAL INSULATING AND SEALING COMPOUND 2104A, 3.46 OZ, 10 /CASE'",No return policy signal in static HTML
2026-04-03,B00342VCH6,"Scotch Thermal Laminating Pouches, Laminate Homemade Ornaments, Christmas Banners and Gift Tags, 5 Mil, 20-Pack Photo Size Laminating Sheets 5 x 7 Inches, Clear'",No return policy signal in static HTML
2026-04-03,B00B8G7WJC,"Post-it 6228SSAU Super Sticky Notes, Ultra, 2-Inch x2-Inch, 8/PK, Assorted'",No return policy signal in static HTML
2026-04-03,B01C4TYMMG,"Scotch Photo Size Thermal Laminating Pouches, 5 mil, 6 x 4, 20/Pack'",No return policy signal in static HTML
